34.885, -4600, -21.95
34.911, -4587, -21.97
34.937, -4488, -22.00
34.963, -4713, -22.04
34.989, -4672, -22.05
35.015, -4939, -22.12
35.041, -4672, -22.16
35.067, -4663, -22.18
35.093, -4746, -22.21
35.119, -4769, -22.25
35.145, -4872, -22.29
35.171, -4775, -22.32
35.197, -4720, -22.37
35.223, -4629, -22.38
35.249, -5032, -22.44
35.275, -4597, -22.49
35.301, -4516, -22.53
35.327, -4817, -22.56
35.353, -4556, -22.58
35.379, -4899, -22.62
35.404, -5034, -22.70
35.430, -5093, -22.75
35.456, -5140, -22.83
35.482, -5179, -22.90
35.508, -4622, -22.94
35.534, -4857, -22.96
35.560, -4988, -23.02
35.586, -4855, -23.06
35.612, -5080, -23.14
35.638, -4973, -23.19
35.664, -4882, -23.24
35.690, -4947, -23.24
35.716, -5318, -23.34
35.742, -5179, -23.39
35.768, -4678, -23.39
35.794, -5017, -23.43
35.820, -5076, -23.49
35.846, -5321, -23.57
35.872, -5076, -23.61
35.898, -5093, -23.66
35.924, -4894, -23.65
35.950, -5083, -23.71
35.976, -5186, -23.74
36.002, -5011, -23.76
36.028, -5110, -23.80
36.054, -5167, -23.84
36.080, -5448, -23.93
36.106, -4809, -23.90
36.131, -5122, -23.95
36.157, -5329, -23.99
36.183, -5468, -24.07
36.209, -4885, -24.10
36.235, -5686, -24.22
36.261, -4831, -24.23
36.287, -5410, -24.30
36.313, -5209, -24.33
36.339, -5400, -24.40
36.365, -5365, -24.47
36.391, -5324, -24.53
36.417, -5221, -24.57
36.443, -5354, -24.62
36.469, -4785, -24.62
36.495, -5114, -24.66
36.521, -5045, -24.70
36.547, -5382, -24.73
36.573, -5277, -24.80
36.599, -5318, -24.88
36.625, -5227, -24.92
36.651, -5014, -24.96
36.677, -5213, -24.99
36.703, -5110, -25.00
36.729, -5617, -25.05
36.755, -5330, -25.07
36.781, -5189, -25.07
36.807, -5342, -25.14
36.833, -5517, -25.21
36.858, -5266, -25.23
36.884, -5199, -25.26
36.910, -5362, -25.29
36.936, -5433, -25.34
36.962, -5418, -25.39
36.988, -5569, -25.45
37.014, -5744, -25.49
37.040, -5035, -25.48
37.066, -5262, -25.54
37.092, -5663, -25.60
37.118, -5504, -25.64
37.144, -5593, -25.67
37.170, -5118, -25.67
37.196, -5093, -25.67
37.222, -5360, -25.72
37.248, -5453, -25.75
37.274, -5632, -25.80
37.300, -5439, -25.84
37.326, -5578, -25.88
37.352, -5595, -25.93
37.378, -5810, -25.96
37.404, -5549, -26.03
37.430, -5678, -26.09
37.456, -5439, -26.10
37.482, -5452, -26.10
37.508, -5425, -26.15
37.534, -5524, -26.13
37.560, -5599, -26.21
37.585, -5514, -26.22
37.611, -5307, -26.23
37.637, -5592, -26.24
37.663, -6049, -26.31
37.689, -5664, -26.35
37.715, -5287, -26.35
37.741, -5758, -26.39
37.767, -5597, -26.47
37.793, -5692, -26.53
37.819, -5469, -26.57
37.845, -5794, -26.61
37.871, -5293, -26.61
37.897, -5876, -26.66
37.923, -6195, -26.76
37.949, -5716, -26.83
37.975, -6061, -26.91
38.001, -5888, -26.99
38.027, -5661, -26.99
38.053, -6090, -27.06
38.079, -5893, -27.13
38.105, -5894, -27.19
38.131, -5987, -27.24
38.157, -6246, -27.33
38.183, -6071, -27.42
38.209, -5828, -27.46
38.235, -5927, -27.51
38.261, -5888, -27.56
38.286, -5983, -27.60
38.312, -5684, -27.59
38.338, -5843, -27.67
38.364, -6080, -27.75
38.390, -6013, -27.78
38.416, -6126, -27.85
38.442, -6059, -27.89
38.468, -5972, -27.97
38.494, -5957, -28.06
38.520, -5906, -28.11
38.546, -6085, -28.17
38.572, -6018, -28.21
38.598, -6231, -28.28
38.624, -5882, -28.31
38.650, -6057, -28.36
